latitude|longitude|Date
9.35218|-79.9079|07-05
9.43418|-79.86964|07-05
8.84388|-79.47295|07-05
8.86541|-79.47899|07-05
9.3692|-79.88644|07-05
8.97918|-79.587|07-05
9.36556|-79.93569|07-05
9.36053|-79.88435|07-05
8.87601|-79.49793|07-05
9.37368|-79.91952|07-05
8.71689|-79.40336|07-05
8.78199|-79.44063|07-05
9.58716|-79.85926|07-05
8.79685|-79.43804|07-05
9.51805|-79.89164|07-05
9.59079|-79.88262|07-05
8.75657|-79.41853|07-05
9.57454|-79.86058|07-05
9.6187|-79.8625|07-05
8.78108|-79.42201|07-05
9.62378|-79.83218|07-05
9.59783|-79.87853|07-05
9.57895|-79.85922|07-05
9.60089|-79.87526|07-05
9.60491|-79.86034|07-05
8.735|-79.41307|07-05
9.35809|-79.8908|07-06
9.48414|-79.97139|07-06
9.35927|-79.88385|07-06
9.36209|-79.89237|07-06
9.34886|-79.91338|07-06
9.26635|-79.91146|07-06
8.8793|-79.45902|07-06
9.52136|-79.79175|07-06
9.01444|-79.61769|07-06
9.35207|-79.90793|07-06
8.95395|-79.56718|07-06
9.36338|-79.88567|07-06
9.43523|-79.86944|07-06
8.86535|-79.4786|07-06
9.4436|-79.87723|07-06
9.37113|-79.88675|07-06
8.96035|-79.56731|07-06
9.36911|-79.88644|07-06
9.37172|-79.88825|07-06
9.37228|-79.8854|07-06
9.361|-79.88453|07-06
8.74971|-79.45764|07-06
8.89071|-79.5244|07-06
9.27864|-79.92201|07-06
9.37354|-79.88995|07-06
8.95993|-79.57593|07-06
8.95794|-79.56511|07-06
8.954|-79.57483|07-06
9.01982|-79.61564|07-06
8.97804|-79.58613|07-06
8.98474|-79.59155|07-06
8.86055|-79.45918|07-06
9.35614|-79.88236|07-06
8.88467|-79.4724|07-06
9.35096|-79.9077|07-06
9.46686|-79.85648|07-06
8.73692|-79.40955|07-06
9.62553|-79.89083|07-06
8.77779|-79.43078|07-06
9.5245|-79.88467|07-06
9.61856|-79.86556|07-06
9.61948|-79.85483|07-06
8.77412|-79.43165|07-06
9.60253|-79.84501|07-06
8.75034|-79.41811|07-06
8.72291|-79.40922|07-06
8.74175|-79.40044|07-06
9.55757|-79.87858|07-06
8.73001|-79.40878|07-06
9.6195|-79.86556|07-06
9.43651|-79.86984|07-07
9.35203|-79.90784|07-07
9.36171|-79.88491|07-07
9.52863|-79.87819|07-07
9.46749|-79.85595|07-07
9.27933|-79.91355|07-07
9.37197|-79.88843|07-07
9.36213|-79.89236|07-07
8.88432|-79.4775|07-07
8.81085|-79.53853|07-07
9.50642|-79.93703|07-07
8.98052|-79.58813|07-07
9.35094|-79.90748|07-07
9.36355|-79.88575|07-07
8.87341|-79.47298|07-07
9.50222|-79.88306|07-07
9.37233|-79.88533|07-07
9.36688|-79.88437|07-07
9.52621|-79.91515|07-07
8.86538|-79.47928|07-07
9.51881|-79.81854|07-07
8.80386|-79.57848|07-07
9.44805|-79.91527|07-07
9.48646|-79.83657|07-07
8.87905|-79.45927|07-07
9.4381|-79.88811|07-07
8.95574|-79.56539|07-07
8.95944|-79.57584|07-07
9.35217|-79.911|07-07
8.8646|-79.52288|07-07
8.95777|-79.56504|07-07
9.01445|-79.61775|07-07
9.35811|-79.8908|07-07
9.51473|-79.98905|07-07
8.7611|-79.42077|07-07
8.73322|-79.41283|07-07
9.59364|-79.84714|07-07
8.71773|-79.40557|07-07
9.61183|-79.859|07-07
9.55463|-79.86428|07-07
9.51933|-79.99417|07-07
9.55384|-79.86506|07-07
9.59158|-79.8888|07-07
9.592410000000001|-79.89103|07-07
9.60928|-79.86114|07-07
9.61539|-79.85004|07-07
8.72765|-79.40637|07-07
9.59769|-79.85804|07-07
9.46552|-79.85683|07-08
9.35217|-79.911|07-08
9.35813|-79.89079|07-08
9.29001|-79.91525|07-08
8.9578|-79.56507|07-08
9.53521|-79.86037|07-08
